Invoice Id,Branch,City,Customer Type,Gender,Product Line,Unit Price,Quantity,Sales,Date,Time,Payment,Cost of Goods saled,Gross Income,Rating,Day,Month,Year,Satisfaction
765-26-6951,Alex,Yangon,Member,Female,Sports And Travel,72.61,6,457.443,1/1/2019,10:39:00 AM,Credit Card,435.66,21.783,6.9,Tuesday,January,00:00.0,not Satisfied
746-04-1077,Cairo,Mandalay,Member,Female,Food And Beverages,84.63,10,888.615,1/1/2019,11:36:00 AM,Credit Card,846.3,42.315,9,Tuesday,January,00:00.0,Satisfied
271-77-8740,Giza,Naypyitaw,Member,Female,Sports And Travel,29.22,6,184.086,1/1/2019,11:40:00 AM,E-Wallet,175.32,8.766,5,Tuesday,January,00:00.0,not Satisfied
133-14-7229,Giza,Naypyitaw,Normal,Male,Health And Beauty,62.87,2,132.027,1/1/2019,11:43:00 AM,Cash,125.74,6.287,5,Tuesday,January,00:00.0,not Satisfied
651-88-7328,Alex,Yangon,Normal,Female,Fashion Accessories,65.74,9,621.243,1/1/2019,1:55:00 PM,Cash,591.66,29.583,7.7,Tuesday,January,00:00.0,Satisfied
416-17-9926,Alex,Yangon,Member,Female,Electronic Accessories,74.22,10,779.31,1/1/2019,2:42:00 PM,Credit Card,742.2,37.11,4.3,Tuesday,January,00:00.0,not Satisfied
530-90-9855,Alex,Yangon,Member,Male,Home And Lifestyle,47.59,8,399.756,1/1/2019,2:47:00 PM,Cash,380.72,19.036,5.7,Tuesday,January,00:00.0,not Satisfied
556-97-7101,Giza,Naypyitaw,Normal,Female,Electronic Accessories,63.22,2,132.762,1/1/2019,3:51:00 PM,Cash,126.44,6.322,8.5,Tuesday,January,00:00.0,Satisfied
891-01-7034,Cairo,Mandalay,Normal,Female,Electronic Accessories,74.71,6,470.673,1/1/2019,7:07:00 PM,Cash,448.26,22.413,6.7,Tuesday,January,00:00.0,not Satisfied
770-42-8960,Cairo,Mandalay,Normal,Male,Food And Beverages,21.12,8,177.408,1/1/2019,7:31:00 PM,Cash,168.96,8.448,6.3,Tuesday,January,00:00.0,not Satisfied
493-65-6248,Giza,Naypyitaw,Member,Female,Sports And Travel,36.98,10,388.29,1/1/2019,7:48:00 PM,Credit Card,369.8,18.49,7,Tuesday,January,00:00.0,Satisfied
182-52-7000,Alex,Yangon,Member,Female,Sports And Travel,27.04,4,113.568,1/1/2019,8:26:00 PM,E-Wallet,108.16,5.408,6.9,Tuesday,January,00:00.0,not Satisfied
244-08-0162,Cairo,Mandalay,Normal,Female,Health And Beauty,34.21,10,359.205,1/2/2019,1:00:00 PM,Cash,342.1,17.105,5.1,Wednesday,January,00:00.0,not Satisfied
198-84-7132,Cairo,Mandalay,Member,Male,Fashion Accessories,40.61,9,383.7645,1/2/2019,1:40:00 PM,Cash,365.49,18.2745,7,Wednesday,January,00:00.0,Satisfied
712-39-0363,Alex,Yangon,Member,Male,Food And Beverages,41.66,6,262.458,1/2/2019,3:24:00 PM,E-Wallet,249.96,12.498,5.6,Wednesday,January,00:00.0,not Satisfied
345-68-9016,Giza,Naypyitaw,Member,Female,Sports And Travel,31.67,8,266.028,1/2/2019,4:19:00 PM,Credit Card,253.36,12.668,5.6,Wednesday,January,00:00.0,not Satisfied
504-35-8843,Alex,Yangon,Member,Female,Sports And Travel,42.47,1,44.5935,1/2/2019,4:57:00 PM,Cash,42.47,2.1235,5.7,Wednesday,January,00:00.0,not Satisfied
446-47-6729,Giza,Naypyitaw,Normal,Male,Fashion Accessories,99.82,2,209.622,1/2/2019,6:09:00 PM,Credit Card,199.64,9.982,6.7,Wednesday,January,00:00.0,not Satisfied
744-09-5786,Cairo,Mandalay,Normal,Male,Electronic Accessories,22.01,6,138.663,1/2/2019,6:50:00 PM,Cash,132.06,6.603,7.6,Wednesday,January,00:00.0,Satisfied
670-71-7306,Cairo,Mandalay,Normal,Male,Sports And Travel,44.63,6,281.169,1/2/2019,8:08:00 PM,Credit Card,267.78,13.389,5.1,Wednesday,January,00:00.0,not Satisfied
343-87-0864,Giza,Naypyitaw,Member,Male,Health And Beauty,75.88,1,79.674,1/3/2019,10:30:00 AM,Credit Card,75.88,3.794,7.1,Thursday,January,00:00.0,Satisfied
249-42-3782,Alex,Yangon,Normal,M,Health And Beauty,70.01,5,367.5525,1/3/2019,11:36:00 AM,E-Wallet,350.05,17.5025,5.5,Thursday,January,00:00.0,not Satisfied
749-24-1565,Alex,Yangon,Normal,Female,Health And Beauty,23.03,9,217.6335,1/3/2019,12:02:00 PM,E-Wallet,207.27,10.3635,7.9,Thursday,January,00:00.0,Satisfied
875-31-8302,Cairo,Mandalay,Normal,Male,Sports And Travel,93.38,1,98.049,1/3/2019,1:07:00 PM,Cash,93.38,4.669,9.6,Thursday,January,00:00.0,Satisfied
422-29-8786,Alex,Yangon,Normal,Female,Home And Lifestyle,67.09,5,352.2225,1/3/2019,4:47:00 PM,Credit Card,335.45,16.7725,9.1,Thursday,January,00:00.0,Satisfied
552-44-5977,Cairo,Mandalay,Member,Male,Health And Beauty,62,8,520.8,1/3/2019,7:08:00 PM,Credit Card,496,24.8,6.2,Thursday,January,00:00.0,not Satisfied
687-15-1097,Giza,Naypyitaw,Member,Female,Health And Beauty,21.12,2,44.352,1/3/2019,7:17:00 PM,Cash,42.24,2.112,9.7,Thursday,January,00:00.0,Satisfied
501-61-1753,Cairo,Mandalay,Normal,Female,Home And Lifestyle,63.15,6,397.845,1/3/2019,8:24:00 PM,E-Wallet,378.9,18.945,9.8,Thursday,January,00:00.0,Satisfied
132-23-6451,Alex,Yangon,Member,Male,Health And Beauty,20.97,5,110.0925,1/4/2019,1:21:00 PM,Cash,104.85,5.2425,7.8,Friday,January,00:00.0,Satisfied
656-16-1063,Cairo,Mandalay,Normal,Male,Sports And Travel,46.42,3,146.223,1/4/2019,1:24:00 PM,Credit Card,139.26,6.963,4.4,Friday,January,00:00.0,not Satisfied
731-14-2199,Alex,Yangon,Member,Female,Home And Lifestyle,35.54,10,373.17,1/4/2019,1:34:00 PM,E-Wallet,355.4,17.77,7,Friday,January,00:00.0,Satisfied
672-51-8681,Giza,Naypyitaw,Member,Female,Electronic Accessories,66.65,9,629.8425,1/4/2019,6:19:00 PM,Credit Card,599.85,29.9925,9.7,Friday,January,00:00.0,Satisfied
725-32-9708,Cairo,Mandalay,Member,Female,Fashion Accessories,68.71,4,288.582,1/4/2019,7:01:00 PM,Cash,274.84,13.742,4.1,Friday,January,00:00.0,not Satisfied
279-74-2924,Cairo,Mandalay,Member,Male,Electronic Accessories,72.17,1,75.7785,1/4/2019,7:40:00 PM,Cash,72.17,3.6085,6.1,Friday,January,00:00.0,not Satisfied
217-58-1179,Alex,Yangon,Member,Male,Home And Lifestyle,62.65,4,263.13,1/5/2019,11:25:00 AM,Cash,250.6,12.53,4.2,Saturday,January,00:00.0,not Satisfied
339-12-4827,Cairo,Mandalay,Member,Female,Fashion Accessories,73.96,1,77.658,1/5/2019,11:32:00 AM,Credit Card,73.96,3.698,5,Saturday,January,00:00.0,not Satisfied
489-82-1237,Alex,Yangon,Normal,Female,Electronic Accessories,93.88,7,690.018,1/5/2019,11:51:00 AM,Credit Card,657.16,32.858,7.3,Saturday,January,00:00.0,Satisfied
573-98-8548,Giza,Naypyitaw,Member,Female,Fashion Accessories,31.9,1,33.495,1/5/2019,12:40:00 PM,E-Wallet,31.9,1.595,9.1,Saturday,January,00:00.0,Satisfied
750-67-8428,Alex,Yangon,Member,Female,Health And Beauty,74.69,7,548.9715,1/5/2019,1:08:00 PM,E-Wallet,522.83,26.1415,9.1,Saturday,January,00:00.0,Satisfied
144-51-6085,Alex,Yangon,Member,Male,Home And Lifestyle,70.74,4,297.108,1/5/2019,4:05:00 PM,Credit Card,282.96,14.148,4.4,Saturday,January,00:00.0,not Satisfied
209-61-0206,Alex,Yangon,Normal,Female,Home And Lifestyle,42.91,5,225.2775,1/5/2019,5:29:00 PM,E-Wallet,214.55,10.7275,6.1,Saturday,January,00:00.0,not Satisfied
433-08-7822,Giza,Naypyitaw,Normal,Female,Health And Beauty,78.89,7,579.8415,1/5/2019,7:48:00 PM,E-Wallet,552.23,27.6115,7.5,Saturday,January,00:00.0,Satisfied
843-01-4703,Cairo,Mandalay,Member,Female,Home And Lifestyle,35.38,9,334.341,1/5/2019,7:50:00 PM,Credit Card,318.42,15.921,9.6,Saturday,January,00:00.0,Satisfied
801-88-0346,Giza,Naypyitaw,Normal,Female,Fashion Accessories,76.06,3,239.589,1/5/2019,8:30:00 PM,Credit Card,228.18,11.409,9.8,Saturday,January,00:00.0,Satisfied
841-18-8232,Cairo,Mandalay,Normal,Female,Food And Beverages,71.2,1,74.76,1/5/2019,8:40:00 PM,Credit Card,71.2,3.56,9.2,Saturday,January,00:00.0,Satisfied
628-34-3388,Giza,Naypyitaw,Member,Female,Fashion Accessories,27.38,6,172.494,1/5/2019,8:54:00 PM,Credit Card,164.28,8.214,7.9,Saturday,January,00:00.0,Satisfied
490-29-1201,Alex,Yangon,Normal,Female,Sports And Travel,15.34,1,16.107,1/6/2019,11:09:00 AM,Cash,15.34,0.767,6.5,Sunday,January,00:00.0,not Satisfied
729-06-2010,Cairo,Mandalay,Member,Male,Health And Beauty,80.47,9,760.4415,1/6/2019,11:18:00 AM,Cash,724.23,36.2115,9.2,Sunday,January,00:00.0,Satisfied
704-11-6354,Alex,Yangon,Member,Male,Home And Lifestyle,58.9,8,494.76,1/6/2019,11:23:00 AM,Cash,471.2,23.56,8.9,Sunday,January,00:00.0,Satisfied
846-10-0341,Alex,Yangon,Normal,Female,Fashion Accessories,42.57,7,312.8895,1/6/2019,11:51:00 AM,Cash,297.99,14.8995,6.8,Sunday,January,00:00.0,not Satisfied
834-25-9262,Giza,Naypyitaw,Normal,Female,Fashion Accessories,81.68,4,343.056,1/6/2019,12:12:00 PM,Cash,326.72,16.336,9.1,Sunday,January,00:00.0,Satisfied
393-65-2792,Giza,Naypyitaw,Member,Female,Food And Beverages,89.48,10,1342.2,1/6/2019,12:46:00 PM,Credit Card,894.8,44.74,9.6,Sunday,January,00:00.0,Satisfied
852-82-2749,Alex,Yangon,Normal,Male,Sports And Travel,64.59,4,271.278,1/6/2019,1:35:00 PM,E-Wallet,258.36,12.918,9.3,Sunday,January,00:00.0,Satisfied
662-72-2873,Alex,Yangon,Normal,Female,Food And Beverages,40.94,5,214.935,1/6/2019,1:58:00 PM,E-Wallet,204.7,10.235,9.9,Sunday,January,00:00.0,Satisfied
826-58-8051,Cairo,Mandalay,Normal,Male,Home And Lifestyle,62.19,4,261.198,1/6/2019,7:46:00 PM,E-Wallet,248.76,12.438,4.3,Sunday,January,00:00.0,not Satisfied
